sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,400,7.5186e+25,0.0027087,0.00034309,0.56377,0.00025408,0.56647,0.15382,2914.6871083389,0.0001881624,0.0003321666
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,450,8.5198e+25,0.0025521,0.00033892,0.54084,0.00026316,0.54914,0.2091,2950.5488020772,0.0002043349,0.0003720998
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,500,9.521e+25,0.0023955,0.00033474,0.51792,0.00027224,0.5318,0.26438,2987.3932006931,0.0002214095,0.0004163398
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,550,1.0522e+26,0.0022388,0.00033057,0.49499,0.00028133,0.51446,0.31966,3025.0778957558,0.0002394245,0.00046539
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,600,1.1523e+26,0.0020822,0.0003264,0.47206,0.00029041,0.49712,0.37494,3063.7254901961,0.0002583884,0.0005197706
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,650,1.2525e+26,0.0019255,0.00032223,0.44913,0.0002995,0.47978,0.43021,3103.3733668498,0.0002783734,0.0005802104
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,700,1.3526e+26,0.0017689,0.00031806,0.4262,0.00030858,0.46244,0.48549,3144.0608690184,0.0002993826,0.0006473976
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,750,1.4527e+26,0.0016123,0.00031388,0.40328,0.00031767,0.4451,0.54077,3185.9309290175,0.0003215058,0.0007223225
27912,10.1002/adfm.201606361,25072,2(a),31220,Yb 9 Mn 4.2 Sb 9,Yb9Mn4.2Sb9,350,2.1619e+27,0.00087181,0.000032931,0.50875,,0.68611,-0.0047575,30366.5239440041,,
27912,10.1002/adfm.201606361,25072,2(a),31220,Yb 9 Mn 4.2 Sb 9,Yb9Mn4.2Sb9,400,2.1273e+27,0.00083498,0.000036568,0.49463,0.000086656,0.67426,0.0079869,27346.313716911,0.0002053506,0.0003045571
27912,10.1002/adfm.201606361,25072,2(a),31220,Yb 9 Mn 4.2 Sb 9,Yb9Mn4.2Sb9,450,2.0927e+27,0.00079815,0.000040205,0.4805,0.000099344,0.66242,0.020731,24872.5282925009,0.0002454727,0.0003705696
27912,10.1002/adfm.201606361,25072,2(a),31220,Yb 9 Mn 4.2 Sb 9,Yb9Mn4.2Sb9,500,2.0582e+27,0.00076131,0.000043842,0.46637,0.00011093,0.65057,0.033476,22809.1784133936,0.0002806775,0.0004314333
27912,10.1002/adfm.201606361,25072,2(a),31220,Yb 9 Mn 4.2 Sb 9,Yb9Mn4.2Sb9,550,2.0236e+27,0.00072448,0.000047479,0.45225,0.00012146,0.63873,0.04622,21061.9431748773,0.000310717,0.0004864606
27912,10.1002/adfm.201606361,25072,2(a),31220,Yb 9 Mn 4.2 Sb 9,Yb9Mn4.2Sb9,600,1.9891e+27,0.00068765,0.000051116,0.43812,0.00013122,0.62688,0.058965,19563.3461147195,0.0003368552,0.0005373519
27912,10.1002/adfm.201606361,25072,2(a),31220,Yb 9 Mn 4.2 Sb 9,Yb9Mn4.2Sb9,650,1.9545e+27,0.00065082,0.000054753,0.42399,0.00014059,0.61504,0.071709,18263.8394243238,0.0003609948,0.0005869452
27912,10.1002/adfm.201606361,25072,2(a),31220,Yb 9 Mn 4.2 Sb 9,Yb9Mn4.2Sb9,700,1.92e+27,0.00061399,0.00005839,0.40986,0.00014987,0.60319,0.084453,17126.2202431923,0.0003846723,0.0006377299
27912,10.1002/adfm.201606361,25072,2(a),31220,Yb 9 Mn 4.2 Sb 9,Yb9Mn4.2Sb9,750,1.8854e+27,0.00057715,0.000062027,0.39574,0.00015913,0.59135,0.097198,16122.01138214,0.0004082473,0.000690365
27912,10.1002/adfm.201606361,25072,2(a),31220,Yb 9 Mn 4.2 Sb 9,Yb9Mn4.2Sb9,800,1.8508e+27,0.00054032,0.000065664,0.38161,0.00016801,0.5795,0.10994,15229.044834308,0.0004298757,0.0007418045
27912,10.1002/adfm.201606361,25072,2(a),31220,Yb 9 Mn 4.2 Sb 9,Yb9Mn4.2Sb9,850,1.8163e+27,0.00050349,0.000069301,0.36748,0.00017555,0.56766,0.12269,14429.8062077026,0.0004446949,0.0007833825
27912,10.1002/adfm.201606361,25072,2(a),31221,Yb 9 Zn 4.2 Sb 9,Yb9Zn4.2Sb9,350,8.3856e+27,0.002338,0.0000026735,,,,0.072772,374041.5186085656,,
27912,10.1002/adfm.201606361,25072,2(a),31221,Yb 9 Zn 4.2 Sb 9,Yb9Zn4.2Sb9,400,8.0613e+27,0.0022101,0.000003394,,0.000004341,,0.12774,294637.5957572186,0.0000055522,
27912,10.1002/adfm.201606361,25072,2(a),31221,Yb 9 Zn 4.2 Sb 9,Yb9Zn4.2Sb9,450,7.737e+27,0.0020822,0.0000041145,,0.0000088204,,0.18272,243042.8970713331,0.0000189086,
27912,10.1002/adfm.201606361,25072,2(a),31221,Yb 9 Zn 4.2 Sb 9,Yb9Zn4.2Sb9,500,7.4127e+27,0.0019543,0.0000048349,,0.0000133,,0.23769,206829.5104345488,0.0000365861,
27912,10.1002/adfm.201606361,25072,2(a),31221,Yb 9 Zn 4.2 Sb 9,Yb9Zn4.2Sb9,550,7.0884e+27,0.0018265,0.0000055554,,0.000017779,,0.29266,180005.040141124,0.0000568983,
27912,10.1002/adfm.201606361,25072,2(a),31221,Yb 9 Zn 4.2 Sb 9,Yb9Zn4.2Sb9,600,6.7641e+27,0.0016986,0.0000062758,,0.000022259,,0.34763,159342.2352528761,0.0000789482,
27912,10.1002/adfm.201606361,25072,2(a),31221,Yb 9 Zn 4.2 Sb 9,Yb9Zn4.2Sb9,650,6.4398e+27,0.0015707,0.0000069963,,0.000026738,,0.4026,142932.6929948687,0.0001021855,
27912,10.1002/adfm.201606361,25072,2(a),31221,Yb 9 Zn 4.2 Sb 9,Yb9Zn4.2Sb9,700,6.1155e+27,0.0014429,0.0000077168,,0.000031217,,0.45757,129587.3937383371,0.0001262831,
27912,10.1002/adfm.201606361,25072,2(a),31221,Yb 9 Zn 4.2 Sb 9,Yb9Zn4.2Sb9,750,5.7912e+27,0.001315,0.0000084372,,0.000035697,,0.51254,118522.7326601242,0.0001510307,
27912,10.1002/adfm.201606361,25072,2(a),31221,Yb 9 Zn 4.2 Sb 9,Yb9Zn4.2Sb9,800,5.4669e+27,0.0011871,0.0000091577,,0.000040176,,0.56751,109197.7243194252,0.0001762572,
27912,10.1002/adfm.201606361,25072,2(a),31221,Yb 9 Zn 4.2 Sb 9,Yb9Zn4.2Sb9,850,5.1426e+27,0.0010593,0.0000098782,,0.000044656,,0.62249,101233.0181612035,0.0002018747,
27912,10.1002/adfm.201606361,25079,7(a),31222,Ba 8 Ga 16-x Cu x Sn 30,Ba8Ga16-xCuxSn30,450,,,,,,,0.81206,,,
27912,10.1002/adfm.201606361,25079,7(a),31222,Ba 8 Ga 16-x Cu x Sn 30,Ba8Ga16-xCuxSn30,500,,,,,,,0.7719,,,
27912,10.1002/adfm.201606361,25079,7(a),31222,Ba 8 Ga 16-x Cu x Sn 30,Ba8Ga16-xCuxSn30,550,,,,,,,0.73173,,,
27912,10.1002/adfm.201606361,25079,7(a),31223,Zn4Sb3,Zn4Sb3,450,,,,,,,0.64536,,,
27912,10.1002/adfm.201606361,25079,7(a),31223,Zn4Sb3,Zn4Sb3,500,,,,,,,0.77046,,,
27912,10.1002/adfm.201606361,25079,7(a),31224,YbCd 2-x Zn x Sb 2,YbCd2-xZnxSb2,450,,,,,,,0.44566,,,
27912,10.1002/adfm.201606361,25079,7(a),31224,YbCd 2-x Zn x Sb 2,YbCd2-xZnxSb2,500,,,,,,,0.58676,,,
27912,10.1002/adfm.201606361,25079,7(a),31224,YbCd 2-x Zn x Sb 2,YbCd2-xZnxSb2,550,,,,,,,0.72785,,,
27912,10.1002/adfm.201606361,25079,7(a),31224,YbCd 2-x Zn x Sb 2,YbCd2-xZnxSb2,600,,,,,,,0.86894,,,
27912,10.1002/adfm.201606361,25079,7(a),31224,YbCd 2-x Zn x Sb 2,YbCd2-xZnxSb2,650,,,,,,,1.01,,,
27912,10.1002/adfm.201606361,25079,7(a),31225,Ce 0.9 Fe 3 CoSb 12,Ce0.9Fe3CoSb12,450,,,,,,,0.47071,,,
27912,10.1002/adfm.201606361,25079,7(a),31225,Ce 0.9 Fe 3 CoSb 12,Ce0.9Fe3CoSb12,500,,,,,,,0.58291,,,
27912,10.1002/adfm.201606361,25079,7(a),31225,Ce 0.9 Fe 3 CoSb 12,Ce0.9Fe3CoSb12,550,,,,,,,0.69511,,,
27912,10.1002/adfm.201606361,25079,7(a),31225,Ce 0.9 Fe 3 CoSb 12,Ce0.9Fe3CoSb12,600,,,,,,,0.80732,,,
27912,10.1002/adfm.201606361,25079,7(a),31225,Ce 0.9 Fe 3 CoSb 12,Ce0.9Fe3CoSb12,650,,,,,,,0.91952,,,
27912,10.1002/adfm.201606361,25079,7(a),31225,Ce 0.9 Fe 3 CoSb 12,Ce0.9Fe3CoSb12,700,,,,,,,1.0317,,,
27912,10.1002/adfm.201606361,25079,7(a),31226,Ba 8 Au 5.3 Ge 40.7,Ba8Au5.3Ge40.7,450,,,,,,,0.4198,,,
27912,10.1002/adfm.201606361,25079,7(a),31226,Ba 8 Au 5.3 Ge 40.7,Ba8Au5.3Ge40.7,500,,,,,,,0.50597,,,
27912,10.1002/adfm.201606361,25079,7(a),31226,Ba 8 Au 5.3 Ge 40.7,Ba8Au5.3Ge40.7,550,,,,,,,0.59214,,,
27912,10.1002/adfm.201606361,25079,7(a),31226,Ba 8 Au 5.3 Ge 40.7,Ba8Au5.3Ge40.7,600,,,,,,,0.67832,,,
27912,10.1002/adfm.201606361,25079,7(a),31226,Ba 8 Au 5.3 Ge 40.7,Ba8Au5.3Ge40.7,650,,,,,,,0.76449,,,
27912,10.1002/adfm.201606361,25079,7(a),31226,Ba 8 Au 5.3 Ge 40.7,Ba8Au5.3Ge40.7,700,,,,,,,0.85066,,,
27912,10.1002/adfm.201606361,25079,7(a),31226,Ba 8 Au 5.3 Ge 40.7,Ba8Au5.3Ge40.7,750,,,,,,,0.93684,,,
27912,10.1002/adfm.201606361,25079,7(a),31227,Ca 9 Zn 4.6 Sb 9,Ca9Zn4.6Sb9,450,,,,,,,0.39207,,,
27912,10.1002/adfm.201606361,25079,7(a),31227,Ca 9 Zn 4.6 Sb 9,Ca9Zn4.6Sb9,500,,,,,,,0.4774,,,
27912,10.1002/adfm.201606361,25079,7(a),31227,Ca 9 Zn 4.6 Sb 9,Ca9Zn4.6Sb9,550,,,,,,,0.56272,,,
27912,10.1002/adfm.201606361,25079,7(a),31227,Ca 9 Zn 4.6 Sb 9,Ca9Zn4.6Sb9,600,,,,,,,0.64805,,,
27912,10.1002/adfm.201606361,25079,7(a),31227,Ca 9 Zn 4.6 Sb 9,Ca9Zn4.6Sb9,650,,,,,,,0.73338,,,
27912,10.1002/adfm.201606361,25079,7(a),31227,Ca 9 Zn 4.6 Sb 9,Ca9Zn4.6Sb9,700,,,,,,,0.81871,,,
27912,10.1002/adfm.201606361,25079,7(a),31227,Ca 9 Zn 4.6 Sb 9,Ca9Zn4.6Sb9,750,,,,,,,0.90403,,,
27912,10.1002/adfm.201606361,25079,7(a),31227,Ca 9 Zn 4.6 Sb 9,Ca9Zn4.6Sb9,800,,,,,,,0.98936,,,
27912,10.1002/adfm.201606361,25079,7(a),31227,Ca 9 Zn 4.6 Sb 9,Ca9Zn4.6Sb9,850,,,,,,,1.0747,,,
27912,10.1002/adfm.201606361,25079,7(a),31228,Yb 14 MnSb 11,Yb14MnSb11,450,,,,,,,0.15903,,,
27912,10.1002/adfm.201606361,25079,7(a),31228,Yb 14 MnSb 11,Yb14MnSb11,500,,,,,,,0.2354,,,
27912,10.1002/adfm.201606361,25079,7(a),31228,Yb 14 MnSb 11,Yb14MnSb11,550,,,,,,,0.31177,,,
27912,10.1002/adfm.201606361,25079,7(a),31228,Yb 14 MnSb 11,Yb14MnSb11,600,,,,,,,0.38814,,,
27912,10.1002/adfm.201606361,25079,7(a),31228,Yb 14 MnSb 11,Yb14MnSb11,650,,,,,,,0.46452,,,
27912,10.1002/adfm.201606361,25079,7(a),31228,Yb 14 MnSb 11,Yb14MnSb11,700,,,,,,,0.54089,,,
27912,10.1002/adfm.201606361,25079,7(a),31228,Yb 14 MnSb 11,Yb14MnSb11,750,,,,,,,0.61726,,,
27912,10.1002/adfm.201606361,25079,7(a),31228,Yb 14 MnSb 11,Yb14MnSb11,800,,,,,,,0.69363,,,
27912,10.1002/adfm.201606361,25079,7(a),31228,Yb 14 MnSb 11,Yb14MnSb11,850,,,,,,,0.77001,,,
27912,10.1002/adfm.201606361,25079,7(a),31228,Yb 14 MnSb 11,Yb14MnSb11,900,,,,,,,0.84638,,,
27912,10.1002/adfm.201606361,25079,7(a),31228,Yb 14 MnSb 11,Yb14MnSb11,950,,,,,,,0.92275,,,
27912,10.1002/adfm.201606361,25079,7(a),31229,Sr 3 Ga 1-x Zn x Sb 3,Sr3Ga1-xZnxSb3,450,,,,,,,0.20911,,,
27912,10.1002/adfm.201606361,25079,7(a),31229,Sr 3 Ga 1-x Zn x Sb 3,Sr3Ga1-xZnxSb3,500,,,,,,,0.28151,,,
27912,10.1002/adfm.201606361,25079,7(a),31229,Sr 3 Ga 1-x Zn x Sb 3,Sr3Ga1-xZnxSb3,550,,,,,,,0.35391,,,
27912,10.1002/adfm.201606361,25079,7(a),31229,Sr 3 Ga 1-x Zn x Sb 3,Sr3Ga1-xZnxSb3,600,,,,,,,0.42632,,,
27912,10.1002/adfm.201606361,25079,7(a),31229,Sr 3 Ga 1-x Zn x Sb 3,Sr3Ga1-xZnxSb3,650,,,,,,,0.49872,,,
27912,10.1002/adfm.201606361,25079,7(a),31229,Sr 3 Ga 1-x Zn x Sb 3,Sr3Ga1-xZnxSb3,700,,,,,,,0.57112,,,
27912,10.1002/adfm.201606361,25079,7(a),31229,Sr 3 Ga 1-x Zn x Sb 3,Sr3Ga1-xZnxSb3,750,,,,,,,0.64353,,,
27912,10.1002/adfm.201606361,25079,7(a),31229,Sr 3 Ga 1-x Zn x Sb 3,Sr3Ga1-xZnxSb3,800,,,,,,,0.71593,,,
27912,10.1002/adfm.201606361,25079,7(a),31229,Sr 3 Ga 1-x Zn x Sb 3,Sr3Ga1-xZnxSb3,850,,,,,,,0.78833,,,
27912,10.1002/adfm.201606361,25079,7(a),31229,Sr 3 Ga 1-x Zn x Sb 3,Sr3Ga1-xZnxSb3,900,,,,,,,0.86074,,,
27912,10.1002/adfm.201606361,25079,7(a),31229,Sr 3 Ga 1-x Zn x Sb 3,Sr3Ga1-xZnxSb3,950,,,,,,,0.93314,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,Ca5In2-xZnxSb6,450,,,,,,,0.18572,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,Ca5In2-xZnxSb6,500,,,,,,,0.24124,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,Ca5In2-xZnxSb6,550,,,,,,,0.29676,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,Ca5In2-xZnxSb6,600,,,,,,,0.35228,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,Ca5In2-xZnxSb6,650,,,,,,,0.4078,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,Ca5In2-xZnxSb6,700,,,,,,,0.46332,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,Ca5In2-xZnxSb6,750,,,,,,,0.51884,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,Ca5In2-xZnxSb6,800,,,,,,,0.57436,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,Ca5In2-xZnxSb6,850,,,,,,,0.62988,,,
27912,10.1002/adfm.201606361,25079,7(a),31230,Ca 5 In 2-x Zn x Sb 6,Ca5In2-xZnxSb6,900,,,,,,,0.68541,,,