sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
7981,10.1039/c5ee03366g,7628,4(a),9274,Sn0.99Na0.01Se,Sn0.99Na0.01Se,350,31914,0.0017657,0.00023749,1.6924,0.34052,0.0000313342,0.0010433113
7981,10.1039/c5ee03366g,7628,4(a),9274,Sn0.99Na0.01Se,Sn0.99Na0.01Se,400,28349,0.001631,0.00025022,1.5437,0.41697,0.0000352746,0.0010565524
7981,10.1039/c5ee03366g,7628,4(a),9274,Sn0.99Na0.01Se,Sn0.99Na0.01Se,450,24784,0.0014962,0.00026295,1.395,0.49342,0.0000403486,0.0010725448
7981,10.1039/c5ee03366g,7628,4(a),9274,Sn0.99Na0.01Se,Sn0.99Na0.01Se,500,21220,0.0013615,0.00027568,1.2463,0.56987,0.0000471254,0.0010924336
7981,10.1039/c5ee03366g,7628,4(a),9274,Sn0.99Na0.01Se,Sn0.99Na0.01Se,550,17655,0.0012267,0.00028841,1.0976,0.64632,0.0000566412,0.0011176203
7981,10.1039/c5ee03366g,7628,4(a),9274,Sn0.99Na0.01Se,Sn0.99Na0.01Se,600,14090,0.001092,0.00030114,0.94885,0.72277,0.0000709723,0.0011508668
7981,10.1039/c5ee03366g,7628,4(a),9274,Sn0.99Na0.01Se,Sn0.99Na0.01Se,650,10526,0.00095719,0.00031387,0.80013,0.79922,0.0000950029,0.0011962931
7981,10.1039/c5ee03366g,7628,4(a),9274,Sn0.99Na0.01Se,Sn0.99Na0.01Se,700,6961.1,0.00082243,0.0003266,0.65141,0.87567,0.0001436555,0.0012625382
7981,10.1039/c5ee03366g,7628,4(a),9274,Sn0.99Na0.01Se,Sn0.99Na0.01Se,750,3396.5,0.00068768,0.00033933,0.50269,0.95212,0.0002944207,0.0013680002
7981,10.1039/c5ee03366g,7628,4(a),9274,Sn0.99Na0.01Se,Sn0.99Na0.01Se,800,-168.19,0.00055292,0.00035206,,1.0286,-0.0059456567,
7981,10.1039/c5ee03366g,7631,5(a),9274,Sn0.99Na0.01Se,Sn0.99Na0.01Se,300,,,,1.8412,,,
7981,10.1039/c5ee03366g,7628,4(a),9275,Sn0.98Na0.02Se,Sn0.98Na0.02Se,350,48402,0.0018015,0.00019791,1.7448,0.31795,0.0000206603,0.0010324966
7981,10.1039/c5ee03366g,7628,4(a),9275,Sn0.98Na0.02Se,Sn0.98Na0.02Se,400,43280,0.0016868,0.00020829,1.5825,0.43015,0.0000231054,0.0010659084
7981,10.1039/c5ee03366g,7628,4(a),9275,Sn0.98Na0.02Se,Sn0.98Na0.02Se,450,38157,0.0015721,0.00021866,1.4201,0.54234,0.0000262075,0.0011070347
7981,10.1039/c5ee03366g,7628,4(a),9275,Sn0.98Na0.02Se,Sn0.98Na0.02Se,500,33035,0.0014574,0.00022903,1.2577,0.65454,0.0000302709,0.0011587819
7981,10.1039/c5ee03366g,7628,4(a),9275,Sn0.98Na0.02Se,Sn0.98Na0.02Se,550,27912,0.0013427,0.0002394,1.0953,0.76673,0.0000358269,0.0012258742
7981,10.1039/c5ee03366g,7628,4(a),9275,Sn0.98Na0.02Se,Sn0.98Na0.02Se,600,22790,0.001228,0.00024977,0.93296,0.87893,0.0000438789,0.0013162408
7981,10.1039/c5ee03366g,7628,4(a),9275,Sn0.98Na0.02Se,Sn0.98Na0.02Se,650,17667,0.0011133,0.00026014,0.77058,0.99112,0.0000566027,0.0014447559
7981,10.1039/c5ee03366g,7628,4(a),9275,Sn0.98Na0.02Se,Sn0.98Na0.02Se,700,12545,0.00099864,0.00027051,0.6082,1.1033,0.000079713,0.0016419599
7981,10.1039/c5ee03366g,7628,4(a),9275,Sn0.98Na0.02Se,Sn0.98Na0.02Se,750,7422.3,0.00088394,0.00028088,0.44583,1.2155,0.0001347291,0.001982684
7981,10.1039/c5ee03366g,7628,4(a),9275,Sn0.98Na0.02Se,Sn0.98Na0.02Se,800,2299.9,0.00076924,0.00029125,,1.3277,0.0004348015,
7981,10.1039/c5ee03366g,7628,4(a),9276,Sn0.97Na0.03Se,Sn0.97Na0.03Se,350,72302,0.0023953,0.00018404,1.5307,0.49792,0.0000138309,0.0015648396
7981,10.1039/c5ee03366g,7628,4(a),9276,Sn0.97Na0.03Se,Sn0.97Na0.03Se,400,64468,0.0022576,0.00019647,1.396,0.65744,0.0000155116,0.001617192
7981,10.1039/c5ee03366g,7628,4(a),9276,Sn0.97Na0.03Se,Sn0.97Na0.03Se,450,56634,0.0021198,0.0002089,1.2614,0.81697,0.0000176572,0.0016805137
7981,10.1039/c5ee03366g,7628,4(a),9276,Sn0.97Na0.03Se,Sn0.97Na0.03Se,500,48800,0.0019821,0.00022133,1.1268,0.97649,0.0000204918,0.0017590522
7981,10.1039/c5ee03366g,7628,4(a),9276,Sn0.97Na0.03Se,Sn0.97Na0.03Se,550,40966,0.0018444,0.00023376,0.99217,1.136,0.0000244105,0.0018589556
7981,10.1039/c5ee03366g,7628,4(a),9276,Sn0.97Na0.03Se,Sn0.97Na0.03Se,600,33131,0.0017066,0.00024618,0.85755,1.2955,0.0000301832,0.001990088
7981,10.1039/c5ee03366g,7628,4(a),9276,Sn0.97Na0.03Se,Sn0.97Na0.03Se,650,25297,0.0015689,0.00025861,0.72293,1.4551,0.0000395304,0.0021701963
7981,10.1039/c5ee03366g,7628,4(a),9276,Sn0.97Na0.03Se,Sn0.97Na0.03Se,700,17463,0.0014312,0.00027104,0.58831,1.6146,0.0000572639,0.002432731
7981,10.1039/c5ee03366g,7628,4(a),9276,Sn0.97Na0.03Se,Sn0.97Na0.03Se,750,9628.9,0.0012934,0.00028347,0.45369,1.7741,0.000103854,0.0028508453
7981,10.1039/c5ee03366g,7628,4(a),9276,Sn0.97Na0.03Se,Sn0.97Na0.03Se,800,1794.7,0.0011557,0.0002959,,1.9336,0.0005571962,
7981,10.1039/c5ee03366g,7631,5(a),9276,Sn0.97Na0.03Se,Sn0.97Na0.03Se,300,,,,1.6653,,,
7981,10.1039/c5ee03366g,7628,4(a),9277,SnSe,SnSe,350,69.174,0.00007308,0.00047419,,,0.0144562986,
7981,10.1039/c5ee03366g,7628,4(a),9277,SnSe,SnSe,400,382.88,0.0001124,0.00046994,,,0.0026117844,
7981,10.1039/c5ee03366g,7628,4(a),9277,SnSe,SnSe,450,696.58,0.00015172,0.00046568,,,0.0014355853,
7981,10.1039/c5ee03366g,7628,4(a),9277,SnSe,SnSe,500,1010.3,0.00019104,0.00046142,,,0.000989805,
7981,10.1039/c5ee03366g,7628,4(a),9277,SnSe,SnSe,550,1324,0.00023036,0.00045716,,,0.000755287,
7981,10.1039/c5ee03366g,7628,4(a),9277,SnSe,SnSe,600,1637.7,0.00026967,0.0004529,,,0.0006106124,
7981,10.1039/c5ee03366g,7628,4(a),9277,SnSe,SnSe,650,1951.4,0.00030899,0.00044864,,,0.0005124526,
7981,10.1039/c5ee03366g,7628,4(a),9277,SnSe,SnSe,700,2265.1,0.00034831,0.00044439,,,0.0004414816,
7981,10.1039/c5ee03366g,7628,4(a),9277,SnSe,SnSe,750,2578.8,0.00038763,0.00044013,,,0.0003877773,
7981,10.1039/c5ee03366g,7628,4(a),9277,SnSe,SnSe,800,2892.5,0.00042695,0.00043587,,,0.0003457217,
7981,10.1039/c5ee03366g,7628,4(a),9278,Sn0.99Ag0.01Se,Sn0.99Ag0.01Se,350,3688.7,0.00037572,0.000335,1.7282,0.0078473,0.0002710982,0.0002174054
7981,10.1039/c5ee03366g,7628,4(a),9278,Sn0.99Ag0.01Se,Sn0.99Ag0.01Se,400,3525.4,0.00037432,0.00034267,1.5693,0.066699,0.0002836558,0.0002385267
7981,10.1039/c5ee03366g,7628,4(a),9278,Sn0.99Ag0.01Se,Sn0.99Ag0.01Se,450,3362.1,0.00037293,0.00035034,1.4105,0.12555,0.0002974332,0.0002643956
7981,10.1039/c5ee03366g,7628,4(a),9278,Sn0.99Ag0.01Se,Sn0.99Ag0.01Se,500,3198.8,0.00037153,0.00035801,1.2516,0.1844,0.0003126172,0.000296844
7981,10.1039/c5ee03366g,7628,4(a),9278,Sn0.99Ag0.01Se,Sn0.99Ag0.01Se,550,3035.5,0.00037013,0.00036568,1.0927,0.24325,0.000329435,0.0003387298
7981,10.1039/c5ee03366g,7628,4(a),9278,Sn0.99Ag0.01Se,Sn0.99Ag0.01Se,600,2872.3,0.00036873,0.00037334,0.93388,0.3021,0.000348153,0.0003948366
7981,10.1039/c5ee03366g,7628,4(a),9278,Sn0.99Ag0.01Se,Sn0.99Ag0.01Se,650,2709,0.00036733,0.00038101,0.77502,0.36096,0.0003691399,0.000473962
7981,10.1039/c5ee03366g,7628,4(a),9278,Sn0.99Ag0.01Se,Sn0.99Ag0.01Se,700,2545.7,0.00036594,0.00038868,0.61616,0.41981,0.0003928193,0.0005939042
7981,10.1039/c5ee03366g,7628,4(a),9278,Sn0.99Ag0.01Se,Sn0.99Ag0.01Se,750,2382.4,0.00036454,0.00039635,0.45729,0.47866,0.0004197448,0.0007971747
7981,10.1039/c5ee03366g,7628,4(a),9278,Sn0.99Ag0.01Se,Sn0.99Ag0.01Se,800,2219.1,0.00036314,0.00040402,,0.53751,0.0004506331,
7981,10.1039/c5ee03366g,7628,4(a),9279,Sn0.98Ag0.02Se,Sn0.98Ag0.02Se,350,9571.7,0.00062746,0.00026562,1.7609,0.063993,0.0001044746,0.0003563291
7981,10.1039/c5ee03366g,7628,4(a),9279,Sn0.98Ag0.02Se,Sn0.98Ag0.02Se,400,8652.8,0.00059853,0.00027884,1.6035,0.12045,0.0001155695,0.0003732647
7981,10.1039/c5ee03366g,7628,4(a),9279,Sn0.98Ag0.02Se,Sn0.98Ag0.02Se,450,7733.8,0.00056961,0.00029205,1.4461,0.17692,0.0001293025,0.0003938939
7981,10.1039/c5ee03366g,7628,4(a),9279,Sn0.98Ag0.02Se,Sn0.98Ag0.02Se,500,6814.9,0.00054068,0.00030527,1.2887,0.23338,0.0001467373,0.0004195546
7981,10.1039/c5ee03366g,7628,4(a),9279,Sn0.98Ag0.02Se,Sn0.98Ag0.02Se,550,5896,0.00051176,0.00031849,1.1313,0.28984,0.0001696065,0.0004523645
7981,10.1039/c5ee03366g,7628,4(a),9279,Sn0.98Ag0.02Se,Sn0.98Ag0.02Se,600,4977.1,0.00048283,0.0003317,0.97388,0.3463,0.0002009202,0.0004957798
7981,10.1039/c5ee03366g,7628,4(a),9279,Sn0.98Ag0.02Se,Sn0.98Ag0.02Se,650,4058.2,0.00045391,0.00034492,0.81648,0.40276,0.0002464147,0.0005559352
7981,10.1039/c5ee03366g,7628,4(a),9279,Sn0.98Ag0.02Se,Sn0.98Ag0.02Se,700,3139.3,0.00042498,0.00035814,0.65908,0.45922,0.0003185424,0.0006448079
7981,10.1039/c5ee03366g,7628,4(a),9279,Sn0.98Ag0.02Se,Sn0.98Ag0.02Se,750,2220.3,0.00039605,0.00037136,0.50168,0.51568,0.0004503896,0.0007894475
7981,10.1039/c5ee03366g,7628,4(a),9279,Sn0.98Ag0.02Se,Sn0.98Ag0.02Se,800,1301.4,0.00036713,0.00038457,,0.57214,0.0007684033,
7981,10.1039/c5ee03366g,7628,4(a),9280,Sn0.97Ag0.03Se,Sn0.97Ag0.03Se,350,16319,0.0010697,0.00026344,1.6571,0.16476,0.0000612783,0.0006455253
7981,10.1039/c5ee03366g,7628,4(a),9280,Sn0.97Ag0.03Se,Sn0.97Ag0.03Se,400,14703,0.001006,0.00027507,1.5126,0.23801,0.0000680133,0.00066508
7981,10.1039/c5ee03366g,7628,4(a),9280,Sn0.97Ag0.03Se,Sn0.97Ag0.03Se,450,13087,0.00094236,0.00028669,1.3681,0.31126,0.0000764117,0.0006888093
7981,10.1039/c5ee03366g,7628,4(a),9280,Sn0.97Ag0.03Se,Sn0.97Ag0.03Se,500,11471,0.00087871,0.00029832,1.2236,0.3845,0.0000871764,0.000718135
7981,10.1039/c5ee03366g,7628,4(a),9280,Sn0.97Ag0.03Se,Sn0.97Ag0.03Se,550,9855,0.00081506,0.00030994,1.0791,0.45775,0.0001014713,0.0007553146
7981,10.1039/c5ee03366g,7628,4(a),9280,Sn0.97Ag0.03Se,Sn0.97Ag0.03Se,600,8239,0.00075141,0.00032157,0.93456,0.531,0.000121374,0.0008040254
7981,10.1039/c5ee03366g,7628,4(a),9280,Sn0.97Ag0.03Se,Sn0.97Ag0.03Se,650,6622.9,0.00068776,0.00033319,0.79006,0.60425,0.0001509913,0.0008705162
7981,10.1039/c5ee03366g,7628,4(a),9280,Sn0.97Ag0.03Se,Sn0.97Ag0.03Se,700,5006.9,0.00062411,0.00034482,0.64555,0.6775,0.0001997244,0.000966788
7981,10.1039/c5ee03366g,7628,4(a),9280,Sn0.97Ag0.03Se,Sn0.97Ag0.03Se,750,3390.8,0.00056047,0.00035644,0.50105,0.75075,0.0002949157,0.001118591
7981,10.1039/c5ee03366g,7628,4(a),9280,Sn0.97Ag0.03Se,Sn0.97Ag0.03Se,800,1774.8,0.00049682,0.00036807,,0.824,0.0005634438,