sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27928,10.1039/c8ee00112j,25527,1a,31778,InxPb1xTe0.996I0.004_ x=0, PbTe0.996I0.004,350,4.7906e+25,308950,-0.000069804,3.2765,0.14966,0.0000032368,0.0015053893,0.0004594504
27928,10.1039/c8ee00112j,25527,1a,31778,InxPb1xTe0.996I0.004_ x=0, PbTe0.996I0.004,400,4.7771e+25,274980,-0.00008394,2.997,0.28422,0.0000036366,0.0019374881,0.0006464758
27928,10.1039/c8ee00112j,25527,1a,31778,InxPb1xTe0.996I0.004_ x=0, PbTe0.996I0.004,450,4.7636e+25,241010,-0.000098076,2.7174,0.41877,0.0000041492,0.0023182515,0.0008531138
27928,10.1039/c8ee00112j,25527,1a,31778,InxPb1xTe0.996I0.004_ x=0, PbTe0.996I0.004,500,4.7502e+25,207030,-0.00011221,2.4379,0.55333,0.0000048302,0.0026067321,0.0010692531
27928,10.1039/c8ee00112j,25527,1a,31778,InxPb1xTe0.996I0.004_ x=0, PbTe0.996I0.004,550,4.7367e+25,173060,-0.00012635,2.1584,0.68789,0.0000057783,0.0027627857,0.0012800156
27928,10.1039/c8ee00112j,25527,1a,31778,InxPb1xTe0.996I0.004_ x=0, PbTe0.996I0.004,600,4.7232e+25,139090,-0.00014048,1.8789,0.82244,0.0000071896,0.0027448897,0.0014609025
27928,10.1039/c8ee00112j,25527,1a,31778,InxPb1xTe0.996I0.004_ x=0, PbTe0.996I0.004,650,4.7098e+25,105110,-0.00015462,1.5994,0.957,0.0000095138,0.002512901,0.0015711523
27928,10.1039/c8ee00112j,25527,1a,31778,InxPb1xTe0.996I0.004_ x=0, PbTe0.996I0.004,700,4.6963e+25,71142,-0.00016876,1.3198,1.0916,0.0000140564,0.0020261197,0.0015351718
27928,10.1039/c8ee00112j,25527,1a,31778,InxPb1xTe0.996I0.004_ x=0, PbTe0.996I0.004,750,4.6828e+25,37169,-0.00018289,1.0403,1.2261,0.0000269041,0.0012432567,0.0011950944
27928,10.1039/c8ee00112j,27378,1d,31778,InxPb1xTe0.996I0.004_ x=0, PbTe0.996I0.004,300,4.804e+25,,,,,,,
27928,10.1039/c8ee00112j,25527,1a,31779,InxPb1-xTe0.996I0.004_ x=0.0025, In0.0025Pb0.9975Te0.996I0.004,300,8.016e+24,,,,,,,
27928,10.1039/c8ee00112j,25527,1a,31779,InxPb1-xTe0.996I0.004_ x=0.0025, In0.0025Pb0.9975Te0.996I0.004,350,1.0968e+25,122370,-0.00014796,1.9581,0.527,0.0000081719,0.0026789438,0.0013681343
27928,10.1039/c8ee00112j,25527,1a,31779,InxPb1-xTe0.996I0.004_ x=0.0025, In0.0025Pb0.9975Te0.996I0.004,400,1.3921e+25,111350,-0.00015785,1.8368,0.64509,0.0000089807,0.0027744659,0.0015104888
27928,10.1039/c8ee00112j,25527,1a,31779,InxPb1-xTe0.996I0.004_ x=0.0025, In0.0025Pb0.9975Te0.996I0.004,450,1.6873e+25,100330,-0.00016774,1.7154,0.76318,0.0000099671,0.0028229559,0.0016456546
27928,10.1039/c8ee00112j,25527,1a,31779,InxPb1-xTe0.996I0.004_ x=0.0025, In0.0025Pb0.9975Te0.996I0.004,500,1.9825e+25,89306,-0.00017763,1.5941,0.88127,0.0000111975,0.0028178201,0.0017676558
27928,10.1039/c8ee00112j,25527,1a,31779,InxPb1-xTe0.996I0.004_ x=0.0025, In0.0025Pb0.9975Te0.996I0.004,550,2.2777e+25,78284,-0.00018751,1.4727,0.99936,0.000012774,0.0027524654,0.0018689926
27928,10.1039/c8ee00112j,25527,1a,31779,InxPb1-xTe0.996I0.004_ x=0.0025, In0.0025Pb0.9975Te0.996I0.004,600,2.573e+25,67263,-0.0001974,1.3514,1.1175,0.000014867,0.0026210212,0.0019394859
27928,10.1039/c8ee00112j,25527,1a,31779,InxPb1-xTe0.996I0.004_ x=0.0025, In0.0025Pb0.9975Te0.996I0.004,650,2.8682e+25,56241,-0.00020729,1.23,1.2355,0.0000177806,0.0024166276,0.0019647379
27928,10.1039/c8ee00112j,25527,1a,31779,InxPb1-xTe0.996I0.004_ x=0.0025, In0.0025Pb0.9975Te0.996I0.004,700,3.1634e+25,45219,-0.00021718,1.1087,1.3536,0.0000221146,0.0021328515,0.0019237408
27928,10.1039/c8ee00112j,25527,1a,31779,InxPb1-xTe0.996I0.004_ x=0.0025, In0.0025Pb0.9975Te0.996I0.004,750,3.4586e+25,34198,-0.00022706,0.98735,1.4717,0.0000292415,0.0017631204,0.0017857096
27928,10.1039/c8ee00112j,25527,1a,31780, InxPb1-xTe0.996I0.004_ x=0.0035, In0.0035Pb0.9965Te0.996I0.004,300,2.246e+24,,,,,,,
27928,10.1039/c8ee00112j,25527,1a,31780, InxPb1-xTe0.996I0.004_ x=0.0035, In0.0035Pb0.9965Te0.996I0.004,350,4.3533e+24,110230,-0.00015369,1.625,0.60829,0.0000090719,0.0026037005,0.0016022772
27928,10.1039/c8ee00112j,25527,1a,31780, InxPb1-xTe0.996I0.004_ x=0.0035, In0.0035Pb0.9965Te0.996I0.004,400,6.4606e+24,100860,-0.00016243,1.5398,0.72155,0.0000099147,0.0026610403,0.0017281727
27928,10.1039/c8ee00112j,25527,1a,31780, InxPb1-xTe0.996I0.004_ x=0.0035, In0.0035Pb0.9965Te0.996I0.004,450,8.5679e+24,91496,-0.00017117,1.4546,0.83481,0.0000109294,0.0026807568,0.0018429512
27928,10.1039/c8ee00112j,25527,1a,31780, InxPb1-xTe0.996I0.004_ x=0.0035, In0.0035Pb0.9965Te0.996I0.004,500,1.0675e+25,82130,-0.00017991,1.3693,0.94807,0.0000121758,0.0026583517,0.0019413946
27928,10.1039/c8ee00112j,25527,1a,31780, InxPb1-xTe0.996I0.004_ x=0.0035, In0.0035Pb0.9965Te0.996I0.004,550,1.2782e+25,72763,-0.00018865,1.2841,1.0613,0.0000137432,0.0025895495,0.002016626
27928,10.1039/c8ee00112j,25527,1a,31780, InxPb1-xTe0.996I0.004_ x=0.0035, In0.0035Pb0.9965Te0.996I0.004,600,1.489e+25,63397,-0.00019739,1.1988,1.1746,0.0000157736,0.0024701254,0.0020604983
27928,10.1039/c8ee00112j,25527,1a,31780, InxPb1-xTe0.996I0.004_ x=0.0035, In0.0035Pb0.9965Te0.996I0.004,650,1.6997e+25,54030,-0.00020613,1.1136,1.2878,0.0000185082,0.0022957118,0.0020615228
27928,10.1039/c8ee00112j,25527,1a,31780, InxPb1-xTe0.996I0.004_ x=0.0035, In0.0035Pb0.9965Te0.996I0.004,700,1.9104e+25,44663,-0.00021487,1.0283,1.4011,0.0000223899,0.0020620513,0.0020053012
27928,10.1039/c8ee00112j,25527,1a,31780, InxPb1-xTe0.996I0.004_ x=0.0035, In0.0035Pb0.9965Te0.996I0.004,750,2.1212e+25,35297,-0.00022361,0.94309,1.5144,0.000028331,0.0017649005,0.001871402
27928,10.1039/c8ee00112j,25527,1a,31781, InxPb1xTe0.996I0.004_ x=0.0050, In0.0050Pb0.9950Te0.996I0.004,300,2.7629e+24,,,,,,,
27928,10.1039/c8ee00112j,25527,1a,31781, InxPb1xTe0.996I0.004_ x=0.0050, In0.0050Pb0.9950Te0.996I0.004,350,3.7522e+24,91874,-0.00016519,2.107,0.42928,0.0000108845,0.0025070335,0.0011898593
27928,10.1039/c8ee00112j,25527,1a,31781, InxPb1xTe0.996I0.004_ x=0.0050, In0.0050Pb0.9950Te0.996I0.004,400,4.7416e+24,84791,-0.00017328,1.9827,0.53411,0.0000117937,0.002545931,0.0012840727
27928,10.1039/c8ee00112j,25527,1a,31781, InxPb1xTe0.996I0.004_ x=0.0050, In0.0050Pb0.9950Te0.996I0.004,450,5.7309e+24,77708,-0.00018137,1.8584,0.63894,0.0000128687,0.0025562106,0.00137549
27928,10.1039/c8ee00112j,25527,1a,31781, InxPb1xTe0.996I0.004_ x=0.0050, In0.0050Pb0.9950Te0.996I0.004,500,6.7202e+24,70625,-0.00018946,1.734,0.74377,0.0000141593,0.0025350908,0.0014619901
27928,10.1039/c8ee00112j,25527,1a,31781, InxPb1xTe0.996I0.004_ x=0.0050, In0.0050Pb0.9950Te0.996I0.004,550,7.7095e+24,63543,-0.00019755,1.6097,0.84859,0.0000157374,0.0024798293,0.0015405537
27928,10.1039/c8ee00112j,25527,1a,31781, InxPb1xTe0.996I0.004_ x=0.0050, In0.0050Pb0.9950Te0.996I0.004,600,8.6989e+24,56460,-0.00020564,1.4854,0.95342,0.0000177117,0.0023875697,0.0016073581
27928,10.1039/c8ee00112j,25527,1a,31781, InxPb1xTe0.996I0.004_ x=0.0050, In0.0050Pb0.9950Te0.996I0.004,650,9.6882e+24,49377,-0.00021373,1.361,1.0582,0.0000202523,0.0022555667,0.0016572863
27928,10.1039/c8ee00112j,25527,1a,31781, InxPb1xTe0.996I0.004_ x=0.0050, In0.0050Pb0.9950Te0.996I0.004,700,1.0678e+25,42294,-0.00022182,1.2367,1.1631,0.000023644,0.0020810387,0.0016827353
27928,10.1039/c8ee00112j,25527,1a,31781, InxPb1xTe0.996I0.004_ x=0.0050, In0.0050Pb0.9950Te0.996I0.004,750,1.1667e+25,35212,-0.00022991,1.1124,1.2679,0.0000283994,0.0018612573,0.0016731907