sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27918,10.1063/1.4963779,25302,2(a),31528,Ag1-xInxBiSe2_ x=0,undefined,350,5804.1,0.64029,-0.00014684,0.67844,0.060782,0.000172292,0.0001251479,0.0001844642
27918,10.1063/1.4963779,25302,2(a),31528,Ag1-xInxBiSe2_ x=0,undefined,400,5323.4,0.62162,-0.00016554,0.65824,0.084082,0.0001878499,0.0001458797,0.0002216209
27918,10.1063/1.4963779,25302,2(a),31528,Ag1-xInxBiSe2_ x=0,undefined,450,4842.7,0.60294,-0.00018424,0.63803,0.10738,0.0002064964,0.0001643824,0.0002576406
27918,10.1063/1.4963779,25302,2(a),31528,Ag1-xInxBiSe2_ x=0,undefined,500,4362,0.58427,-0.00020293,0.61782,0.13068,0.0002292526,0.0001796297,0.0002907476
27918,10.1063/1.4963779,25302,2(a),31528,Ag1-xInxBiSe2_ x=0,undefined,550,3881.3,0.5656,-0.00022163,0.59761,0.15398,0.0002576456,0.0001906489,0.0003190189
27918,10.1063/1.4963779,25302,2(a),31528,Ag1-xInxBiSe2_ x=0,undefined,600,3400.6,0.54692,-0.00024033,0.5774,0.17728,0.0002940658,0.0001964136,0.000340169
27918,10.1063/1.4963779,25302,2(a),31528,Ag1-xInxBiSe2_ x=0,undefined,650,2919.9,0.52825,-0.00025903,0.55719,0.20058,0.0003424775,0.0001959152,0.0003516129
27918,10.1063/1.4963779,25302,2(a),31528,Ag1-xInxBiSe2_ x=0,undefined,700,2439.2,0.50958,-0.00027772,0.53698,0.22388,0.0004099705,0.0001881316,0.0003503512
27918,10.1063/1.4963779,25302,2(a),31528,Ag1-xInxBiSe2_ x=0,undefined,750,1958.5,0.4909,-0.00029642,0.51677,0.24718,0.0005105948,0.0001720832,0.0003329977
27918,10.1063/1.4963779,25305,5(b),31528,Ag1-xInxBiSe2_ x=0,undefined,300,,0.65896,,,,,,
27918,10.1063/1.4963779,25302,2(a),31529,Ag1-xInxBiSe2_ x=0.005,undefined,350,14118,0.64465,-0.00012507,0.73745,0.10765,0.0000708316,0.0002208409,0.0002994656
27918,10.1063/1.4963779,25302,2(a),31529,Ag1-xInxBiSe2_ x=0.005,undefined,400,12838,0.6144,-0.00014139,0.70234,0.15062,0.0000778938,0.0002566462,0.0003654158
27918,10.1063/1.4963779,25302,2(a),31529,Ag1-xInxBiSe2_ x=0.005,undefined,450,11559,0.58415,-0.0001577,0.66724,0.19359,0.0000865127,0.0002874641,0.0004308257
27918,10.1063/1.4963779,25302,2(a),31529,Ag1-xInxBiSe2_ x=0.005,undefined,500,10279,0.5539,-0.00017402,0.63214,0.23657,0.0000972857,0.0003112785,0.0004924203
27918,10.1063/1.4963779,25302,2(a),31529,Ag1-xInxBiSe2_ x=0.005,undefined,550,8999,0.52365,-0.00019034,0.59703,0.27954,0.0001111235,0.0003260276,0.0005460825
27918,10.1063/1.4963779,25302,2(a),31529,Ag1-xInxBiSe2_ x=0.005,undefined,600,7719.1,0.49341,-0.00020665,0.56193,0.32251,0.0001295488,0.0003296382,0.0005866178
27918,10.1063/1.4963779,25302,2(a),31529,Ag1-xInxBiSe2_ x=0.005,undefined,650,6439.3,0.46316,-0.00022297,0.52683,0.36548,0.0001552964,0.0003201338,0.0006076605
27918,10.1063/1.4963779,25302,2(a),31529,Ag1-xInxBiSe2_ x=0.005,undefined,700,5159.5,0.43291,-0.00023928,0.49172,0.40846,0.0001938172,0.0002954068,0.0006007621
27918,10.1063/1.4963779,25302,2(a),31529,Ag1-xInxBiSe2_ x=0.005,undefined,750,3879.6,0.40266,-0.0002556,0.45662,0.45143,0.0002577585,0.0002534595,0.0005550776
27918,10.1063/1.4963779,25302,2(a),31530,Ag1-xInxBiSe2_ x=0.01,undefined,350,26504,0.57938,-0.00010286,0.76128,0.12206,0.0000377302,0.0002804171,0.0003683495
27918,10.1063/1.4963779,25302,2(a),31530,Ag1-xInxBiSe2_ x=0.01,undefined,400,23865,0.55683,-0.00011902,0.72626,0.17909,0.0000419024,0.0003380659,0.0004654888
27918,10.1063/1.4963779,25302,2(a),31530,Ag1-xInxBiSe2_ x=0.01,undefined,450,21226,0.53428,-0.00013518,0.69124,0.23613,0.000047112,0.0003878761,0.0005611309
27918,10.1063/1.4963779,25302,2(a),31530,Ag1-xInxBiSe2_ x=0.01,undefined,500,18586,0.51173,-0.00015135,0.65622,0.29317,0.0000538039,0.0004257462,0.0006487858
27918,10.1063/1.4963779,25302,2(a),31530,Ag1-xInxBiSe2_ x=0.01,undefined,550,15947,0.48918,-0.00016751,0.6212,0.35021,0.0000627077,0.0004474664,0.0007203259
27918,10.1063/1.4963779,25302,2(a),31530,Ag1-xInxBiSe2_ x=0.01,undefined,600,13308,0.46662,-0.00018367,0.58619,0.40724,0.0000751428,0.000448941,0.0007658626
27918,10.1063/1.4963779,25302,2(a),31530,Ag1-xInxBiSe2_ x=0.01,undefined,650,10668,0.44407,-0.00019983,0.55117,0.46428,0.0000937383,0.0004259949,0.000772892
27918,10.1063/1.4963779,25302,2(a),31530,Ag1-xInxBiSe2_ x=0.01,undefined,700,8028.8,0.42152,-0.00021599,0.51615,0.52132,0.0001245516,0.000374557,0.0007256747
27918,10.1063/1.4963779,25302,2(a),31530,Ag1-xInxBiSe2_ x=0.01,undefined,750,5389.4,0.39897,-0.00023216,0.48113,0.57836,0.0001855494,0.0002904793,0.0006037439
27918,10.1063/1.4963779,25306,6,31530,Ag1-xInxBiSe2_ x=0.01,undefined,300,,,,,0.065017,,,
27918,10.1063/1.4963779,25302,2(a),31531,Ag1-xInxBiSe2_ x=0.015,undefined,350,29842,0.61636,-0.000086533,0.83043,0.066068,0.0000335098,0.0002234557,0.0002690843
27918,10.1063/1.4963779,25302,2(a),31531,Ag1-xInxBiSe2_ x=0.015,undefined,400,27382,0.58508,-0.00010021,0.79026,0.13458,0.0000365203,0.0002749713,0.0003479504
27918,10.1063/1.4963779,25302,2(a),31531,Ag1-xInxBiSe2_ x=0.015,undefined,450,24921,0.5538,-0.00011389,0.75008,0.20308,0.0000401268,0.0003232486,0.0004309522
27918,10.1063/1.4963779,25302,2(a),31531,Ag1-xInxBiSe2_ x=0.015,undefined,500,22461,0.52252,-0.00012757,0.70991,0.27159,0.0000445216,0.0003655327,0.0005149
27918,10.1063/1.4963779,25302,2(a),31531,Ag1-xInxBiSe2_ x=0.015,undefined,550,20001,0.49124,-0.00014125,0.66973,0.3401,0.0000499975,0.0003990512,0.0005958389
27918,10.1063/1.4963779,25302,2(a),31531,Ag1-xInxBiSe2_ x=0.015,undefined,600,17540,0.45996,-0.00015493,0.62956,0.40861,0.0000570125,0.000421018,0.0006687496
27918,10.1063/1.4963779,25302,2(a),31531,Ag1-xInxBiSe2_ x=0.015,undefined,650,15080,0.42867,-0.00016861,0.58938,0.47712,0.000066313,0.0004287143,0.0007273988
27918,10.1063/1.4963779,25302,2(a),31531,Ag1-xInxBiSe2_ x=0.015,undefined,700,12620,0.39739,-0.00018228,0.5492,0.54563,0.0000792393,0.0004193121,0.0007634962
27918,10.1063/1.4963779,25302,2(a),31531,Ag1-xInxBiSe2_ x=0.015,undefined,750,10159,0.36611,-0.00019596,0.50903,0.61413,0.0000984349,0.0003901089,0.000766377
27918,10.1063/1.4963779,25302,2(a),31532,Ag1-xInxBiSe2_ x=0.02,undefined,350,27660,0.6295,-0.000089635,0.82361,0.068794,0.0000361533,0.0002222324,0.0002698273
27918,10.1063/1.4963779,25302,2(a),31532,Ag1-xInxBiSe2_ x=0.02,undefined,400,26209,0.60541,-0.00009966,0.80253,0.12406,0.0000381548,0.0002603108,0.0003243627
27918,10.1063/1.4963779,25302,2(a),31532,Ag1-xInxBiSe2_ x=0.02,undefined,450,24759,0.58132,-0.00010969,0.78146,0.17932,0.0000403894,0.0002978977,0.0003812066
27918,10.1063/1.4963779,25302,2(a),31532,Ag1-xInxBiSe2_ x=0.02,undefined,500,23308,0.55723,-0.00011971,0.76039,0.23459,0.0000429037,0.0003340149,0.0004392679
27918,10.1063/1.4963779,25302,2(a),31532,Ag1-xInxBiSe2_ x=0.02,undefined,550,21857,0.53314,-0.00012974,0.73931,0.28985,0.0000457519,0.0003679072,0.000497636
27918,10.1063/1.4963779,25302,2(a),31532,Ag1-xInxBiSe2_ x=0.02,undefined,600,20407,0.50905,-0.00013976,0.71824,0.34512,0.0000490028,0.000398607,0.0005549775
27918,10.1063/1.4963779,25302,2(a),31532,Ag1-xInxBiSe2_ x=0.02,undefined,650,18956,0.48496,-0.00014979,0.69716,0.40038,0.0000527537,0.0004253166,0.0006100703
27918,10.1063/1.4963779,25302,2(a),31532,Ag1-xInxBiSe2_ x=0.02,undefined,700,17506,0.46087,-0.00015981,0.67609,0.45565,0.0000571233,0.0004470899,0.0006612875
27918,10.1063/1.4963779,25302,2(a),31532,Ag1-xInxBiSe2_ x=0.02,undefined,750,16055,0.43678,-0.00016984,0.65501,0.51091,0.0000622859,0.0004631165,0.0007070373
27918,10.1063/1.4963779,25305,5(b),31532,Ag1-xInxBiSe2_ x=0.02,undefined,300,,0.65359,,,,,,