sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,450,4.9079e+26,0.000017252,0.00048779,,0.92442,0.30981,57964.2939948991,,
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,500,6.1679e+26,0.000020972,0.00042856,0.00012372,0.90636,0.4002,47682.6244516498,0.0007298607,0.0008052658
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,550,7.428e+26,0.000024692,0.00036932,0.000137,0.8883,0.49058,40498.9470273773,0.0007601247,0.0008557072
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,600,8.6881e+26,0.000028413,0.00031009,0.00015028,0.87024,0.58097,35195.1571463767,0.0007948502,0.0009133689
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,650,9.9482e+26,0.000032133,0.00025085,0.00016356,0.85218,0.67135,31120.6547785765,0.0008325358,0.0009769483
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,700,1.1208e+27,0.000035853,0.00019162,0.00017684,0.83412,0.76174,27891.6687585418,0.000872239,0.0010456997
3733,10.1007/s40243-014-0026-5,11779,2a,13994,Cu2Se,Cu2Se,750,1.2468e+27,0.000039573,0.00013238,0.00019012,0.81606,0.85212,25269.7546306825,0.0009133908,0.0011192692
3733,10.1007/s40243-014-0026-5,11780,2b,13994,Cu2Se,Cu2Se,800,,0.000043293,,0.0002034,0.798,0.94251,23098.4223777516,0.0009556178,0.001197516
3733,10.1007/s40243-014-0026-5,11781,2c,13994,Cu2Se,Cu2Se,850,,0.000047014,,,0.77994,1.0329,21270.2599225763,,
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,450,1.4266e+26,0.000027699,0.00043068,,0.82379,0.41379,36102.3863677389,,
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,500,3.3236e+26,0.00003398,0.00037797,0.00016271,0.81095,0.48545,29429.0759270159,0.0007791214,0.0009607514
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,550,5.2207e+26,0.000040261,0.00032526,0.00017933,0.79812,0.55712,24837.9324904995,0.0007987693,0.0010008135
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,600,7.1177e+26,0.000046543,0.00027255,0.00019497,0.78528,0.62878,21485.5080248372,0.0008167351,0.0010400559
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,650,9.0148e+26,0.000052824,0.00021984,0.00020955,0.77245,0.70044,18930.789035287,0.0008312737,0.0010761521
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,700,1.0912e+27,0.000059105,0.00016713,0.00022298,0.75961,0.7721,16919.0423822012,0.0008412161,0.0011074316
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,750,1.2809e+27,0.000065386,0.00011442,0.0002352,0.74678,0.84376,15293.7937784847,0.000846038,0.0011329146
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,800,1.4706e+27,0.000071668,0.000061709,0.00024613,0.73394,0.91542,13953.228777139,0.0008452863,0.0011517103
3733,10.1007/s40243-014-0026-5,11779,2a,13995,Cu1.97Ag0.03Se,Cu1.97Ag0.03Se,850,1.6603e+27,0.000077949,0.0000089985,0.00025568,0.72111,0.98708,12828.9009480558,0.0008386543,0.0011630046
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,450,6.2244e+26,0.000010501,0.00051956,,1.2283,0.25229,95229.025807066,,
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,500,8.5922e+26,0.000012738,0.00046111,0.00010369,1.1969,0.33631,78505.2598524101,0.0008440584,0.0007052038
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,550,1.096e+27,0.000014975,0.00040267,0.00011428,1.1654,0.42033,66777.9632721202,0.0008721148,0.0007483394
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,600,1.3328e+27,0.000017213,0.00034423,0.00012486,1.134,0.50435,58095.6253994074,0.0009057119,0.0007986878
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,650,1.5696e+27,0.00001945,0.00028579,0.00013545,1.1026,0.58837,51413.881748072,0.0009432752,0.0008555008
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,700,1.8064e+27,0.000021687,0.00022735,0.00014604,1.0712,0.67239,46110.5731544243,0.0009834316,0.0009180654
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,750,2.0432e+27,0.000023925,0.00016891,0.00015662,1.0398,0.75641,41797.2831765935,0.00102528,0.0009860358
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,800,2.2799e+27,0.000026162,0.00011047,0.00016721,1.0084,0.84043,38223.3774176286,0.0010686944,0.0010597922
3733,10.1007/s40243-014-0026-5,11779,2a,13996,Cu1.97Ag0.03Se1.009,Cu1.97Ag0.03Se1.009,850,2.5167e+27,0.000028399,0.000052026,0.0001778,0.97703,0.92444,35212.5074826578,0.0011131674,0.001139338