sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
3422,10.1016/j.jssc.2014.06.042,3157,9,4380,x=1.00,CaFe4Sb12,300,,1.6709,0.000077166,,0.13914,,,
3422,10.1016/j.jssc.2014.06.042,3157,9,4380,x=1.00,CaFe4Sb12,350,0.0000035605,1.5693,0.000081526,3.5633,0.18166,280859.4298553574,0.001866729,0.0005238765
3422,10.1016/j.jssc.2014.06.042,3157,9,4380,x=1.00,CaFe4Sb12,400,0.0000037664,1.4677,0.000085885,3.5799,0.22418,265505.5225148683,0.0019584307,0.000547063
3422,10.1016/j.jssc.2014.06.042,3157,9,4380,x=1.00,CaFe4Sb12,450,0.0000039724,1.3661,0.000090245,3.5965,0.2667,251736.9851978653,0.0020501863,0.0005700504
3422,10.1016/j.jssc.2014.06.042,3157,9,4380,x=1.00,CaFe4Sb12,500,0.0000041784,1.2645,0.000094604,3.6131,0.30922,239326.0578211756,0.0021419483,0.0005928284
3422,10.1016/j.jssc.2014.06.042,3157,9,4380,x=1.00,CaFe4Sb12,550,0.0000043844,1.1629,0.000098964,3.6297,0.35174,228081.3794361828,0.0022338001,0.0006154228
3422,10.1016/j.jssc.2014.06.042,3157,9,4380,x=1.00,CaFe4Sb12,600,0.0000045903,1.0613,0.00010332,3.6463,0.39426,217850.6851404048,0.0023255609,0.0006377865
3422,10.1016/j.jssc.2014.06.042,3157,9,4380,x=1.00,CaFe4Sb12,650,0.0000047963,0.95973,0.00010768,3.6629,0.43678,208494.047494944,0.0024174848,0.000659992
3422,10.1016/j.jssc.2014.06.042,3157,9,4380,x=1.00,CaFe4Sb12,700,0.0000050023,0.85814,0.00011204,3.6795,0.4793,199908.0423005417,0.002509438,0.0006820052
3422,10.1016/j.jssc.2014.06.042,3157,9,4380,x=1.00,CaFe4Sb12,750,0.0000052083,0.75655,0.0001164,3.6961,0.52182,192001.2288078644,0.002601417,0.0007038275
3422,10.1016/j.jssc.2014.06.042,3157,9,4381,x=0.75,Ca0.75Ce0.25Fe4Sb12,350,0.0000041062,1.4563,0.000086508,3.1961,0.19254,243534.1678437485,0.0018225206,0.0005702327
3422,10.1016/j.jssc.2014.06.042,3157,9,4381,x=0.75,Ca0.75Ce0.25Fe4Sb12,400,0.0000043031,1.3596,0.000091411,3.2187,0.23642,232390.6021240501,0.0019418491,0.0006033023
3422,10.1016/j.jssc.2014.06.042,3157,9,4381,x=0.75,Ca0.75Ce0.25Fe4Sb12,450,0.0000044999,1.263,0.000096313,3.2413,0.2803,222227.160603569,0.0020614222,0.0006359863
3422,10.1016/j.jssc.2014.06.042,3157,9,4381,x=0.75,Ca0.75Ce0.25Fe4Sb12,500,0.0000046967,1.1663,0.00010122,3.2639,0.32418,212915.451274299,0.0021814228,0.0006683485
3422,10.1016/j.jssc.2014.06.042,3157,9,4381,x=0.75,Ca0.75Ce0.25Fe4Sb12,550,0.0000048936,1.0696,0.00010612,3.2865,0.36807,204348.536864476,0.0023012617,0.0007002166
3422,10.1016/j.jssc.2014.06.042,3157,9,4381,x=0.75,Ca0.75Ce0.25Fe4Sb12,600,0.0000050904,0.97299,0.00011102,3.3091,0.41195,196448.2162501965,0.0024213108,0.0007317128
3422,10.1016/j.jssc.2014.06.042,3157,9,4381,x=0.75,Ca0.75Ce0.25Fe4Sb12,650,0.0000052872,0.87633,0.00011593,3.3317,0.45583,189136.0266303525,0.0025419437,0.000762957
3422,10.1016/j.jssc.2014.06.042,3157,9,4381,x=0.75,Ca0.75Ce0.25Fe4Sb12,700,0.000005484,0.77967,0.00012083,3.3543,0.49971,182348.6506199854,0.00266227,0.0007936887
3422,10.1016/j.jssc.2014.06.042,3157,9,4381,x=0.75,Ca0.75Ce0.25Fe4Sb12,750,0.0000056809,0.68301,0.00012573,3.3769,0.54359,176028.4461969054,0.0027826635,0.000824029
3422,10.1016/j.jssc.2014.06.042,3159,10,4381,x=0.75,Ca0.75Ce0.25Fe4Sb12,800,,,,3.3995,0.58747,,,
3422,10.1016/j.jssc.2014.06.042,3160,11,4381,x=0.75,Ca0.75Ce0.25Fe4Sb12,300,,1.5529,,,0.14866,,,
3422,10.1016/j.jssc.2014.06.042,3157,9,4382,x=0.50,Ca0.5Ce0.5Fe4Sb12,300,,1.3105,0.000082968,,0.14529,,,
3422,10.1016/j.jssc.2014.06.042,3157,9,4382,x=0.50,Ca0.5Ce0.5Fe4Sb12,350,0.0000046184,1.2354,0.000087866,2.6972,0.20857,216525.2035336913,0.0016716685,0.0006197792
3422,10.1016/j.jssc.2014.06.042,3157,9,4382,x=0.50,Ca0.5Ce0.5Fe4Sb12,400,0.0000048151,1.1603,0.000092763,2.6945,0.27186,207680.0066457602,0.0017870811,0.0006632329
3422,10.1016/j.jssc.2014.06.042,3157,9,4382,x=0.50,Ca0.5Ce0.5Fe4Sb12,450,0.0000050118,1.0852,0.000097661,2.6919,0.33514,199529.1112973383,0.001903043,0.0007069516
3422,10.1016/j.jssc.2014.06.042,3157,9,4382,x=0.50,Ca0.5Ce0.5Fe4Sb12,500,0.0000052085,1.01,0.00010256,2.6892,0.39842,191993.8561966017,0.0020194977,0.000750966
3422,10.1016/j.jssc.2014.06.042,3157,9,4382,x=0.50,Ca0.5Ce0.5Fe4Sb12,550,0.0000054051,0.93493,0.00010746,2.6866,0.46171,185010.4530905996,0.0021364363,0.0007952193
3422,10.1016/j.jssc.2014.06.042,3157,9,4382,x=0.50,Ca0.5Ce0.5Fe4Sb12,600,0.0000056018,0.85981,0.00011235,2.6839,0.52499,178514.0490556607,0.0022532976,0.0008395609
3422,10.1016/j.jssc.2014.06.042,3157,9,4382,x=0.50,Ca0.5Ce0.5Fe4Sb12,650,0.0000057985,0.78469,0.00011725,2.6813,0.58828,172458.394412348,0.0023708826,0.0008842288
3422,10.1016/j.jssc.2014.06.042,3157,9,4382,x=0.50,Ca0.5Ce0.5Fe4Sb12,700,0.0000059951,0.70958,0.00012215,2.6786,0.65156,166802.8890260379,0.0024888029,0.0009291432
3422,10.1016/j.jssc.2014.06.042,3157,9,4382,x=0.50,Ca0.5Ce0.5Fe4Sb12,750,0.0000061918,0.63446,0.00012705,2.6759,0.71484,161503.9245453665,0.0026069483,0.0009742323
3422,10.1016/j.jssc.2014.06.042,3157,9,4383,x=0.25,Ca0.25Ce0.75Fe4Sb12,300,,1.4887,0.000080845,,0.14814,,,
3422,10.1016/j.jssc.2014.06.042,3157,9,4383,x=0.25,Ca0.25Ce0.75Fe4Sb12,350,0.0000047524,1.407,0.000088385,2.9045,0.20205,210419.99831664,0.0016437817,0.0005659431
3422,10.1016/j.jssc.2014.06.042,3157,9,4383,x=0.25,Ca0.25Ce0.75Fe4Sb12,400,0.0000049941,1.3253,0.000095418,2.9223,0.25596,200236.2788089946,0.0018230702,0.0006238477
3422,10.1016/j.jssc.2014.06.042,3157,9,4383,x=0.25,Ca0.25Ce0.75Fe4Sb12,450,0.0000052357,1.2437,0.00010194,2.9402,0.30987,190996.4283667896,0.0019847897,0.0006750526
3422,10.1016/j.jssc.2014.06.042,3157,9,4383,x=0.25,Ca0.25Ce0.75Fe4Sb12,500,0.0000054773,1.162,0.00010796,2.9581,0.36378,182571.7050371533,0.0021279392,0.0007193601
3422,10.1016/j.jssc.2014.06.042,3157,9,4383,x=0.25,Ca0.25Ce0.75Fe4Sb12,550,0.000005719,1.0804,0.00011348,2.9759,0.41769,174855.7440111908,0.0022517416,0.000756659
3422,10.1016/j.jssc.2014.06.042,3157,9,4383,x=0.25,Ca0.25Ce0.75Fe4Sb12,600,0.0000059606,0.9987,0.00011848,2.9938,0.4716,167768.345468577,0.0023550499,0.0007866424
3422,10.1016/j.jssc.2014.06.042,3157,9,4383,x=0.25,Ca0.25Ce0.75Fe4Sb12,650,0.0000062022,0.91705,0.00012298,3.0116,0.52551,161233.1108316404,0.0024385025,0.0008097033
3422,10.1016/j.jssc.2014.06.042,3157,9,4383,x=0.25,Ca0.25Ce0.75Fe4Sb12,700,0.0000064439,0.83539,0.00012697,3.0295,0.57942,155185.5242942938,0.0025018049,0.0008258145
3422,10.1016/j.jssc.2014.06.042,3157,9,4383,x=0.25,Ca0.25Ce0.75Fe4Sb12,750,0.0000066855,0.75373,0.00013045,3.0474,0.63333,149577.4437214868,0.0025453896,0.000835266
3422,10.1016/j.jssc.2014.06.042,3157,9,4384,x=0.00,CeFe4Sb12,300,,1.6379,0.000083957,,0.11638,,,
3422,10.1016/j.jssc.2014.06.042,3157,9,4384,x=0.00,CeFe4Sb12,350,0.00000535,1.551,0.000090364,2.8894,0.17895,186915.8878504673,0.0015262902,0.0005282378
3422,10.1016/j.jssc.2014.06.042,3157,9,4384,x=0.00,CeFe4Sb12,400,0.0000055949,1.464,0.00009677,2.8967,0.24151,178734.2043646893,0.0016737445,0.0005778108
3422,10.1016/j.jssc.2014.06.042,3157,9,4384,x=0.00,CeFe4Sb12,450,0.0000058397,1.377,0.00010318,2.9041,0.30408,171241.6733736322,0.0018230581,0.0006277532
3422,10.1016/j.jssc.2014.06.042,3157,9,4384,x=0.00,CeFe4Sb12,500,0.0000060845,1.2901,0.00010958,2.9114,0.36665,164352.0420741228,0.0019735026,0.0006778535
3422,10.1016/j.jssc.2014.06.042,3157,9,4384,x=0.00,CeFe4Sb12,550,0.0000063293,1.2031,0.00011599,2.9188,0.42922,157995.3549365649,0.002125619,0.000728251
3422,10.1016/j.jssc.2014.06.042,3157,9,4384,x=0.00,CeFe4Sb12,600,0.0000065741,1.1162,0.0001224,2.9261,0.49178,152112.0761777278,0.0022789066,0.0007788205
3422,10.1016/j.jssc.2014.06.042,3157,9,4384,x=0.00,CeFe4Sb12,650,0.000006819,1.0292,0.0001288,2.9335,0.55435,146649.0687784133,0.0024328259,0.0008293254
3422,10.1016/j.jssc.2014.06.042,3157,9,4384,x=0.00,CeFe4Sb12,700,0.0000070638,0.94223,0.00013521,2.9408,0.61692,141566.8620289363,0.0025880891,0.000880063
3422,10.1016/j.jssc.2014.06.042,3157,9,4384,x=0.00,CeFe4Sb12,750,0.0000073086,0.85527,0.00014161,2.9482,0.67949,136825.1101442137,0.0027438076,0.0009306721